wall_time,millis_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label,dog_name,size_class
1785660016.9939895,124959,0.0962,-0.0156,-1.0156,4.3945,1.1597,0.0,unlabeled,Charlotte,small
1785660016.9940035,125009,0.0923,-0.0166,-1.0029,4.3945,1.0376,0.4883,unlabeled,Charlotte,small
1785660016.9940083,125059,0.0947,-0.0156,-1.0146,4.5776,1.2207,0.061,unlabeled,Charlotte,small
1785660016.9940119,125109,0.0947,-0.0171,-1.019,4.5776,1.2817,0.1831,unlabeled,Charlotte,small
1785660016.994015,125159,0.0942,-0.0176,-1.002,4.4556,1.1597,0.1831,unlabeled,Charlotte,small
1785660016.9940214,125209,0.0947,-0.0156,-1.0093,4.3945,1.0376,0.061,unlabeled,Charlotte,small
1785660016.9940248,125259,0.0918,-0.0166,-1.0063,4.3945,1.1597,0.1831,unlabeled,Charlotte,small
1785660016.9940279,125309,0.0937,-0.0171,-1.0205,4.5166,0.9766,-0.061,unlabeled,Charlotte,small
1785660016.9940305,125359,0.0913,-0.0122,-1.0083,4.3335,1.0986,-0.1831,unlabeled,Charlotte,small
1785660016.9940338,125409,0.0933,-0.0146,-1.0103,4.3945,1.3428,0.3052,unlabeled,Charlotte,small
1785660017.7517712,125482,0.0962,-0.0127,-1.0171,4.3335,1.2207,0.0,unlabeled,Charlotte,small
1785660017.751783,125532,0.0889,-0.0176,-1.0083,4.3335,1.1597,0.061,unlabeled,Charlotte,small
1785660017.7517884,125582,0.0933,-0.0205,-1.0078,4.3945,0.9155,-0.2441,unlabeled,Charlotte,small
1785660017.7517934,125632,0.0923,-0.0122,-1.0093,4.4556,1.2207,0.061,unlabeled,Charlotte,small
1785660017.751797,125682,0.0947,-0.0166,-1.0059,3.9673,0.9155,-0.1221,unlabeled,Charlotte,small
1785660017.7518008,125732,0.0923,-0.0151,-1.0054,4.0894,1.2817,0.1831,unlabeled,Charlotte,small
1785660017.7518048,125782,0.0918,-0.0161,-1.0068,4.3945,1.0376,0.2441,unlabeled,Charlotte,small
1785660017.7518091,125832,0.0898,-0.0161,-1.0127,4.3945,1.0986,-0.2441,unlabeled,Charlotte,small
1785660017.7518127,125882,0.0947,-0.0117,-1.0049,4.3945,1.0376,0.1831,unlabeled,Charlotte,small
1785660017.7518163,125932,0.0967,-0.0156,-1.0117,4.2725,1.1597,-0.061,unlabeled,Charlotte,small
1785660023.086234,126241,0.0947,-0.0186,-1.0044,4.3335,0.8545,0.0,unlabeled,Charlotte,small
1785660023.0862467,126291,0.0928,-0.0142,-1.0103,4.5776,1.2207,0.0,unlabeled,Charlotte,small
1785660023.0862515,126341,0.0937,-0.0112,-1.0112,4.3335,1.0986,0.0,unlabeled,Charlotte,small
1785660023.0862558,126391,0.0947,-0.0166,-1.0103,4.0283,1.2817,0.0,unlabeled,Charlotte,small
1785660023.0862591,126441,0.0942,-0.0146,-1.0127,4.2725,1.1597,0.1221,unlabeled,Charlotte,small
1785660023.0862632,126491,0.0942,-0.0146,-1.0024,4.3335,1.2817,-0.061,unlabeled,Charlotte,small
1785660023.0862675,126541,0.0918,-0.0161,-1.0112,4.5776,1.2207,-0.1221,unlabeled,Charlotte,small
1785660023.0862715,126591,0.0928,-0.0142,-1.0181,4.3945,1.2207,0.0,unlabeled,Charlotte,small
1785660023.086275,126641,0.0923,-0.0186,-1.0,4.2114,1.0376,-0.1221,unlabeled,Charlotte,small
1785660023.0862787,126691,0.0923,-0.0166,-1.0093,4.4556,1.3428,-0.1831,unlabeled,Charlotte,small
1785660023.6024806,131573,0.0928,-0.0171,-1.0068,4.2114,1.0376,-0.3662,standing,Charlotte,small
1785660023.602494,131623,0.0898,-0.0176,-1.0142,4.2725,0.9155,0.0,standing,Charlotte,small
1785660023.6024992,131673,0.0952,-0.0181,-1.0098,4.1504,0.9766,-0.1831,standing,Charlotte,small
1785660023.602505,131723,0.0937,-0.0171,-1.0127,4.3335,1.4038,0.1831,standing,Charlotte,small
1785660023.6025095,131773,0.0957,-0.0117,-1.0078,4.2114,1.2207,0.061,standing,Charlotte,small
1785660023.602513,131823,0.0923,-0.0171,-1.0098,4.3335,1.0376,0.1831,standing,Charlotte,small
1785660023.602517,131873,0.0937,-0.0166,-1.0078,4.3335,1.2207,0.0,standing,Charlotte,small
1785660023.60252,131923,0.0933,-0.0176,-1.0078,4.4556,0.9766,0.0,standing,Charlotte,small
1785660023.6025229,131973,0.0937,-0.0186,-1.0068,4.3335,1.2817,-0.061,standing,Charlotte,small
1785660023.6025262,132023,0.0937,-0.0166,-1.0112,4.3945,1.0376,-0.061,standing,Charlotte,small
1785660024.1580732,132086,0.0918,-0.0132,-1.0137,4.3335,1.2817,-0.1221,standing,Charlotte,small
1785660024.1580844,132136,0.0942,-0.019,-1.0117,4.2114,1.0376,-0.061,standing,Charlotte,small
1785660024.1580892,132186,0.0937,-0.0151,-1.002,4.3335,1.2817,0.0,standing,Charlotte,small
1785660024.158094,132236,0.0918,-0.0156,-1.0122,4.2114,1.0376,0.0,standing,Charlotte,small
1785660024.158098,132286,0.0908,-0.0146,-1.0122,4.2114,1.1597,-0.061,standing,Charlotte,small
1785660024.1581018,132336,0.0933,-0.0171,-1.0112,4.3335,1.0376,0.1831,standing,Charlotte,small
1785660024.158106,132386,0.0942,-0.0137,-1.0088,4.1504,1.1597,0.0,standing,Charlotte,small
1785660024.1581097,132436,0.0942,-0.0156,-1.0107,4.3335,1.2817,0.1831,standing,Charlotte,small
1785660024.1581135,132486,0.0933,-0.019,-1.0073,4.3945,0.9766,-0.4272,standing,Charlotte,small
1785660024.1581173,132536,0.0923,-0.0156,-1.0093,4.2114,0.9766,0.1221,standing,Charlotte,small
1785660024.9223146,132648,0.0928,-0.0151,-1.0063,4.3945,1.0986,-0.1831,standing,Charlotte,small
1785660024.922327,132698,0.0928,-0.0132,-1.0107,4.2114,1.2207,0.061,standing,Charlotte,small
1785660024.9223332,132748,0.0889,-0.0161,-1.0142,4.2114,1.2817,-0.1221,standing,Charlotte,small
1785660024.922339,132798,0.0942,-0.0181,-1.0063,4.3945,1.0986,-0.061,standing,Charlotte,small
1785660024.9223442,132848,0.0952,-0.0156,-1.0093,4.4556,1.2817,-0.2441,standing,Charlotte,small
1785660024.9223492,132898,0.0928,-0.0151,-1.0176,4.5166,1.0986,0.061,standing,Charlotte,small
1785660024.9223547,132948,0.0947,-0.0181,-1.0073,4.3945,1.0376,0.1831,standing,Charlotte,small
1785660024.9223597,132998,0.0942,-0.0112,-1.0093,4.3335,0.9155,-0.2441,standing,Charlotte,small
1785660024.9223652,133048,0.0942,-0.0161,-1.0103,4.2114,1.4038,0.0,standing,Charlotte,small
1785660024.92237,133098,0.0937,-0.0146,-1.0093,4.3335,1.1597,0.0,standing,Charlotte,small
1785660025.4756029,133427,0.0947,-0.0176,-1.0063,4.3335,1.3428,0.1221,standing,Charlotte,small
1785660025.4756136,133477,0.0913,-0.019,-1.0078,4.4556,1.4648,-0.061,standing,Charlotte,small
1785660025.4756188,133527,0.0933,-0.019,-1.0093,4.4556,1.4038,-0.2441,standing,Charlotte,small
1785660025.4756231,133577,0.0967,-0.0176,-1.0107,4.3945,1.0376,-0.061,standing,Charlotte,small
1785660025.4756272,133627,0.0962,-0.0205,-1.0078,4.4556,1.0376,0.061,standing,Charlotte,small
1785660025.475631,133677,0.0884,-0.0142,-1.0029,4.4556,1.1597,0.1831,standing,Charlotte,small
1785660025.4756353,133727,0.0918,-0.0146,-1.0098,4.2725,1.0376,-0.1221,standing,Charlotte,small
1785660025.475639,133777,0.0947,-0.0146,-1.0063,4.2725,1.3428,-0.061,standing,Charlotte,small
1785660025.4756427,133827,0.0923,-0.0161,-1.0132,4.2725,1.3428,0.1221,standing,Charlotte,small
1785660025.4756463,133877,0.0933,-0.0127,-1.0088,4.6387,1.0376,0.061,standing,Charlotte,small
1785660026.4497945,133975,0.0928,-0.0151,-1.0112,4.2114,1.1597,-0.1831,standing,Charlotte,small
1785660026.4498065,134025,0.0967,-0.0146,-1.0078,4.2725,1.2207,0.0,standing,Charlotte,small
1785660026.4498117,134075,0.0923,-0.0181,-1.0137,4.4556,1.2207,0.1831,standing,Charlotte,small
1785660026.4498162,134125,0.0952,-0.0176,-1.0078,4.3945,1.2817,-0.061,standing,Charlotte,small
1785660026.4498205,134175,0.0952,-0.0176,-1.0112,4.3945,1.0376,-0.2441,standing,Charlotte,small
1785660026.4498243,134225,0.0942,-0.0176,-1.0044,4.2114,1.2817,-0.3052,standing,Charlotte,small
1785660026.4498281,134275,0.0918,-0.0166,-1.0088,4.5166,1.0376,0.061,standing,Charlotte,small
1785660026.449832,134325,0.0903,-0.0146,-1.0127,4.2114,0.9766,-0.1831,standing,Charlotte,small
1785660026.4498358,134375,0.0903,-0.02,-1.0107,4.2725,1.2207,-0.2441,standing,Charlotte,small
1785660026.4498396,134425,0.0923,-0.0146,-1.0039,4.1504,0.9766,0.0,standing,Charlotte,small
1785660027.2789395,134945,0.0962,-0.0195,-1.0122,4.2114,1.0986,-0.061,standing,Charlotte,small
1785660027.278951,134995,0.0923,-0.0142,-1.0083,4.4556,1.2207,-0.1221,standing,Charlotte,small
1785660027.2789557,135045,0.0928,-0.0156,-1.0171,4.4556,1.0376,0.0,standing,Charlotte,small
1785660027.2789614,135095,0.0913,-0.0166,-1.0068,4.3335,1.0986,0.0,standing,Charlotte,small
1785660027.2789648,135145,0.0977,-0.0186,-1.0078,4.2725,1.2817,-0.1831,standing,Charlotte,small
1785660027.2789679,135195,0.0933,-0.0176,-1.0059,4.4556,1.1597,-0.3052,standing,Charlotte,small
1785660027.2789712,135245,0.0903,-0.0171,-1.0034,4.2725,1.1597,0.061,standing,Charlotte,small
1785660027.2789743,135295,0.0972,-0.0151,-1.0073,4.2114,1.0376,-0.1221,standing,Charlotte,small
1785660027.2789774,135345,0.0928,-0.0195,-1.0132,4.3335,1.0986,0.061,standing,Charlotte,small
1785660027.2789803,135395,0.0923,-0.0151,-1.001,4.5166,1.2817,-0.2441,standing,Charlotte,small
1785660029.8152735,135769,0.0918,-0.0161,-1.0103,4.2725,1.1597,-0.1831,standing,Charlotte,small
1785660029.8152852,135819,0.0903,-0.0166,-1.0068,4.3945,1.0376,-0.1831,standing,Charlotte,small
1785660029.8152905,135869,0.0942,-0.0166,-1.0151,4.3335,1.0376,-0.061,standing,Charlotte,small
1785660029.8152952,135919,0.0933,-0.0171,-1.0088,4.3335,1.3428,-0.061,standing,Charlotte,small
1785660029.8152993,135969,0.0937,-0.0146,-1.0044,4.3945,1.1597,-0.1831,standing,Charlotte,small
1785660029.815303,136019,0.0952,-0.0181,-1.0132,4.3335,1.0986,-0.2441,standing,Charlotte,small
1785660029.8153074,136069,0.0937,-0.0146,-1.0098,4.5166,1.0376,0.0,standing,Charlotte,small
1785660029.8153112,136119,0.0942,-0.0176,-1.0098,4.5776,1.2207,-0.2441,standing,Charlotte,small
1785660029.8153152,136169,0.0913,-0.0166,-1.0127,4.0894,1.1597,-0.1221,standing,Charlotte,small
1785660029.8153188,136219,0.0908,-0.0142,-0.9995,4.5776,1.1597,-0.061,standing,Charlotte,small
1785660031.905974,138517,0.0923,-0.0132,-1.0039,4.1504,1.3428,0.061,standing,Charlotte,small
1785660031.9059842,138567,0.0908,-0.0146,-1.0078,4.5776,1.0986,-0.1221,standing,Charlotte,small
1785660031.9059887,138617,0.0918,-0.0166,-1.0151,4.6387,0.9155,0.1831,standing,Charlotte,small
1785660031.9059923,138667,0.0947,-0.0166,-1.0063,4.2725,1.2817,0.0,standing,Charlotte,small
1785660031.9059956,138717,0.0942,-0.0156,-1.0088,4.2114,0.9766,-0.061,standing,Charlotte,small
1785660031.905999,138767,0.0923,-0.0166,-1.0093,4.3945,0.9155,0.0,standing,Charlotte,small
1785660031.9060023,138817,0.0937,-0.0132,-1.0063,4.3945,1.0376,-0.3052,standing,Charlotte,small
1785660031.9060774,138867,0.0962,-0.0132,-1.0093,4.2725,1.4038,0.3052,standing,Charlotte,small
1785660031.9060817,138917,0.0937,-0.0171,-1.0127,4.1504,0.9766,-0.1221,standing,Charlotte,small
1785660031.9060855,138967,0.0947,-0.0122,-1.0132,4.3945,1.0376,0.2441,standing,Charlotte,small
1785660032.6866674,140412,0.0937,-0.0171,-1.0107,4.2725,1.1597,-0.2441,standing,Charlotte,small
1785660032.686683,140462,0.0957,-0.0127,-1.0122,4.3945,0.9155,-0.1221,standing,Charlotte,small
1785660032.6866891,140512,0.0937,-0.0171,-1.0103,4.3945,1.2207,0.0,standing,Charlotte,small
1785660032.6866949,140562,0.0908,-0.0161,-1.0073,4.0283,1.0376,0.1221,standing,Charlotte,small
1785660032.6867003,140612,0.0952,-0.0181,-1.0142,4.2725,1.0376,0.1831,standing,Charlotte,small
1785660032.6867054,140662,0.0908,-0.0181,-1.0078,4.3945,1.2207,-0.061,standing,Charlotte,small
1785660032.686711,140712,0.0933,-0.0146,-1.0107,4.3335,1.0986,0.3052,standing,Charlotte,small
1785660032.6867163,140762,0.0937,-0.0146,-1.0034,4.3335,0.9155,-0.1221,standing,Charlotte,small
1785660032.6867213,140812,0.0913,-0.0195,-1.0063,4.3335,0.9155,-0.1221,standing,Charlotte,small
1785660032.6867263,140862,0.0947,-0.0176,-1.0107,4.3945,0.9766,0.0,standing,Charlotte,small
1785660033.7082658,141173,0.0923,-0.0156,-1.0054,4.2725,1.0986,-0.2441,standing,Charlotte,small
1785660033.7082775,141223,0.0967,-0.0151,-1.0088,4.2114,1.2817,-0.061,standing,Charlotte,small
1785660033.7082827,141273,0.0947,-0.0151,-1.0122,4.2114,1.3428,0.0,standing,Charlotte,small
1785660033.708287,141323,0.0957,-0.0146,-1.0005,4.0894,1.0986,-0.3052,standing,Charlotte,small
1785660033.708291,141373,0.0918,-0.0166,-1.0088,4.2114,1.1597,0.1831,standing,Charlotte,small
1785660033.708295,141423,0.0991,-0.0156,-1.0088,4.3335,1.3428,-0.1221,standing,Charlotte,small
1785660033.7082992,141473,0.0918,-0.0176,-1.0024,4.2725,1.2207,-0.1221,standing,Charlotte,small
1785660033.7083032,141523,0.0942,-0.0215,-1.0166,4.4556,1.0376,-0.061,standing,Charlotte,small
1785660033.708307,141573,0.0913,-0.0156,-1.0156,4.2725,1.1597,0.1831,standing,Charlotte,small
1785660033.7083106,141623,0.0918,-0.0181,-1.0112,4.5166,1.0986,-0.1831,standing,Charlotte,small
1785660034.2477689,142197,0.0894,-0.0181,-0.9897,4.2725,0.9155,0.1221,standing,Charlotte,small
1785660034.247783,142247,0.0947,-0.0176,-1.0112,4.2725,1.1597,-0.061,standing,Charlotte,small
1785660034.247789,142297,0.0923,-0.0186,-1.0024,4.3945,1.1597,-0.3052,standing,Charlotte,small
1785660034.2477942,142347,0.0952,-0.0137,-1.02,4.3945,1.1597,-0.1221,standing,Charlotte,small
1785660034.2477996,142397,0.0903,-0.0142,-1.0049,4.2725,0.9766,-0.1221,standing,Charlotte,small
1785660034.2478046,142447,0.0952,-0.0161,-1.0098,4.2114,1.0986,-0.1221,standing,Charlotte,small
1785660034.2478101,142497,0.0933,-0.0176,-1.0068,4.4556,1.2207,0.061,standing,Charlotte,small
1785660034.2478154,142547,0.0942,-0.0181,-1.0098,4.3945,1.0376,0.3662,standing,Charlotte,small
1785660034.2478206,142597,0.0928,-0.0181,-1.0049,4.3945,1.2817,0.1221,standing,Charlotte,small
1785660034.2478251,142647,0.0913,-0.0142,-1.0083,4.4556,1.2207,0.1221,standing,Charlotte,small
1785660036.1796253,142739,0.0957,-0.0127,-1.0112,4.3945,1.0986,0.1221,standing,Charlotte,small
1785660036.1796372,142789,0.0942,-0.0166,-1.0093,4.3335,1.0986,0.061,standing,Charlotte,small
1785660036.1796427,142839,0.0957,-0.02,-1.0127,4.5166,1.1597,-0.061,standing,Charlotte,small
1785660036.179647,142889,0.0923,-0.0142,-1.0171,4.2114,1.2817,-0.2441,standing,Charlotte,small
1785660036.179651,142939,0.0908,-0.0229,-1.001,4.3945,1.0986,-0.1831,standing,Charlotte,small
1785660036.1796548,142989,0.0952,-0.0156,-1.002,4.1504,1.0986,0.1221,standing,Charlotte,small
1785660036.1796596,143039,0.0942,-0.0166,-1.0132,4.5166,1.0986,-0.3052,standing,Charlotte,small
1785660036.1796634,143089,0.0937,-0.0156,-1.0122,4.3945,1.0986,0.061,standing,Charlotte,small
1785660036.179667,143139,0.0933,-0.0166,-1.0151,4.2114,1.0376,0.1221,standing,Charlotte,small
1785660036.1796708,143189,0.0942,-0.0161,-1.0117,4.4556,0.9766,0.1831,standing,Charlotte,small
1785660041.81522,144670,0.0977,-0.0166,-1.0088,4.3335,1.2817,0.0,standing,Charlotte,small
1785660041.8152325,144720,0.0942,-0.0166,-1.0088,4.2114,1.1597,-0.061,standing,Charlotte,small
1785660041.8152394,144770,0.0937,-0.0181,-1.0049,4.3945,1.1597,0.061,standing,Charlotte,small
1785660041.8152432,144820,0.0937,-0.0146,-1.0151,4.5166,1.4038,0.0,standing,Charlotte,small
1785660041.815246,144870,0.0962,-0.02,-1.0068,4.3945,1.1597,0.0,standing,Charlotte,small
1785660041.815249,144920,0.0957,-0.0137,-1.0039,4.2725,1.2817,-0.1831,standing,Charlotte,small
1785660041.8152523,144970,0.0942,-0.0176,-1.0107,4.3335,1.0986,0.0,standing,Charlotte,small
1785660041.8152554,145020,0.0942,-0.0151,-1.02,4.0894,0.9766,-0.3662,standing,Charlotte,small
1785660041.8152583,145070,0.0962,-0.0181,-1.0132,4.2725,1.0986,-0.3052,standing,Charlotte,small
1785660041.8152614,145120,0.0947,-0.0103,-1.0059,4.2725,1.1597,0.3052,standing,Charlotte,small
1785660087.3916266,193924,0.0962,-0.0151,-1.0107,4.4556,1.4648,0.0,standing,Charlotte,small
1785660087.3916388,193974,0.0933,-0.0156,-1.0073,4.1504,1.1597,-0.1221,standing,Charlotte,small
1785660087.3916442,194024,0.0972,-0.0122,-1.0103,4.1504,1.1597,0.0,standing,Charlotte,small
1785660087.3916488,194074,0.0952,-0.0176,-1.0098,4.0894,1.0376,0.061,standing,Charlotte,small
1785660087.3916526,194124,0.0937,-0.0186,-1.0059,4.3335,1.2817,0.1831,standing,Charlotte,small
1785660087.3916564,194174,0.0952,-0.0166,-1.0127,4.2114,1.0376,0.061,standing,Charlotte,small
1785660087.3916602,194224,0.0918,-0.0181,-1.0093,4.0894,1.1597,-0.1221,standing,Charlotte,small
1785660087.3916857,194274,0.0957,-0.0117,-1.0044,4.2114,1.0986,-0.1831,standing,Charlotte,small
1785660087.3916895,194324,0.0942,-0.0161,-1.0132,4.2725,0.9766,-0.061,standing,Charlotte,small
1785660087.3916936,194374,0.0962,-0.0122,-1.0059,4.3945,1.2207,0.061,standing,Charlotte,small
1785660088.1918008,195876,0.0923,-0.0146,-1.0005,4.2114,1.0986,-0.1221,standing,Charlotte,small
1785660088.1918137,195926,0.0918,-0.0156,-1.0132,4.1504,1.2207,-0.061,standing,Charlotte,small
1785660088.1918192,195976,0.0923,-0.0186,-0.9995,4.1504,1.0376,0.0,standing,Charlotte,small
1785660088.191824,196026,0.0928,-0.0151,-1.0044,4.0894,1.0986,0.1831,standing,Charlotte,small
1785660088.1918285,196076,0.0933,-0.0181,-1.0146,4.3335,1.0986,-0.1221,standing,Charlotte,small
1785660088.1918325,196126,0.0928,-0.0132,-1.0015,4.2725,1.0986,-0.1221,standing,Charlotte,small
1785660088.1918366,196176,0.0937,-0.0176,-1.0117,4.3335,1.0376,0.3052,standing,Charlotte,small
1785660088.1918404,196226,0.0928,-0.0176,-1.0146,4.3945,1.0376,-0.1221,standing,Charlotte,small
1785660088.191844,196276,0.0937,-0.0142,-1.0068,4.2725,1.0986,0.061,standing,Charlotte,small
1785660088.191848,196326,0.0923,-0.0195,-1.0083,4.2725,1.0376,-0.3052,standing,Charlotte,small
1785660088.950829,196670,0.0962,-0.0161,-1.0142,4.4556,1.2207,-0.2441,standing,Charlotte,small
1785660088.9508393,196720,0.0923,-0.019,-1.0029,4.2725,0.9766,-0.061,standing,Charlotte,small
1785660088.950844,196770,0.0947,-0.0181,-1.0029,4.4556,1.4038,0.0,standing,Charlotte,small
1785660088.950848,196820,0.0952,-0.0166,-1.0098,4.3945,1.0376,0.1221,standing,Charlotte,small
1785660088.9508517,196870,0.0947,-0.02,-1.0137,4.1504,0.9155,0.3662,standing,Charlotte,small
1785660088.9508545,196920,0.0928,-0.0146,-1.0073,4.4556,1.2817,-0.061,standing,Charlotte,small
1785660088.9508579,196970,0.0957,-0.0166,-1.0098,4.2114,1.0986,-0.1831,standing,Charlotte,small
1785660088.950861,197020,0.0942,-0.0205,-1.0073,4.2114,1.1597,0.0,standing,Charlotte,small
1785660088.9508638,197070,0.0928,-0.0142,-1.0049,4.2725,0.9766,-0.2441,standing,Charlotte,small
1785660088.9508672,197120,0.0952,-0.0156,-1.0088,4.3335,1.2207,-0.061,standing,Charlotte,small
1785660089.4899797,197433,0.0923,-0.0156,-1.0015,4.1504,0.9155,-0.2441,standing,Charlotte,small
1785660089.4899917,197483,0.0894,-0.0161,-1.0059,4.2725,0.9155,-0.1221,standing,Charlotte,small
1785660089.4899971,197533,0.0937,-0.0181,-1.0068,4.2725,1.2817,0.1221,standing,Charlotte,small
1785660089.4900014,197583,0.0937,-0.019,-1.0093,4.5166,0.9155,-0.061,standing,Charlotte,small
1785660089.4900053,197633,0.0937,-0.0176,-1.0107,4.3335,1.2207,0.0,standing,Charlotte,small
1785660089.490009,197683,0.0952,-0.0146,-1.0063,4.4556,1.1597,-0.1831,standing,Charlotte,small
